Consumption,Region
13.8,Northeast
12.91,Northeast
12.93,Northeast
13.56,Northeast
11.62,Northeast
10.73,Northeast
12.25,Northeast
13.13,Northeast
13.66,Northeast
11.18,Northeast
12.67,Northeast
14.12,Northeast
14.11,Northeast
13.07,Northeast
11.5,Northeast
11.67,Northeast
11.63,Northeast
13.48,Northeast
13.02,Northeast
14.61,Northeast
15.26,Northeast
13.35,Northeast
12.2,Northeast
14.39,Northeast
13.42,Northeast
16.3,Northeast
14.56,Northeast
11.27,Northeast
13.77,Northeast
15.65,Northeast
9.68,Northeast
13.78,Northeast
11.53,Northeast
11.59,Northeast
10.87,Northeast
14.31,Northeast
14.7,Northeast
11.14,Northeast
10.85,Northeast
10.06,Northeast
13.87,Northeast
11.7,Northeast
15.11,Northeast
13.91,Northeast
11.95,Northeast
13.51,Northeast
11.16,Northeast
11.14,Northeast
10.7,Northeast
12.22,Northeast
15.25,Northeast
11.76,Northeast
17.16,Northeast
13.39,Northeast
13.28,Northeast
12.17,Northeast
12.32,Northeast
13.62,Northeast
12.58,Northeast
11.18,Northeast
13.66,Northeast
12.59,Northeast
12.09,Northeast
12.82,Northeast
12.08,Northeast
10.38,Northeast
13.33,Northeast
13.21,Northeast
14.91,Northeast
10.31,Northeast
15.15,Northeast
14.63,Northeast
14.54,Northeast
13.86,Northeast
10.73,Northeast
13.22,Northeast
13.15,Northeast
14.26,Northeast
8.79,Northeast
11.69,Northeast
15.23,Northeast
18.24,Northeast
14.06,Northeast
16.16,Northeast
15.5,Northeast
13.67,Northeast
10.44,Northeast
12.77,Northeast
13.81,Northeast
11.54,Northeast
11.74,Northeast
13.95,Northeast
13.28,Northeast
10.93,Northeast
9.55,Northeast
15.92,Northeast
12.37,Northeast
13.06,Northeast
11.53,Northeast
12.13,Northeast
14.3,Northeast
15.27,Northeast
14.49,Northeast
13.52,Northeast
13.5,Northeast
13.25,Northeast
11.41,Northeast
15.12,Northeast
9.84,Northeast
10.57,Northeast
18.52,Midwest
21.25,Midwest
15.64,Midwest
17.55,Midwest
14.95,Midwest
11.52,Midwest
13.43,Midwest
18.44,Midwest
14.84,Midwest
14.21,Midwest
16.61,Midwest
11.63,Midwest
11.33,Midwest
14.33,Midwest
11.96,Midwest
15.58,Midwest
9.72,Midwest
13.25,Midwest
16.07,Midwest
15.68,Midwest
12.35,Midwest
15.95,Midwest
14.12,Midwest
12.94,Midwest
14.73,Midwest
17.41,Midwest
11.04,Midwest
13.84,Midwest
10.15,Midwest
15.55,Midwest
9.58,Midwest
16.86,Midwest
19.03,Midwest
17.47,Midwest
14.34,Midwest
9.12,Midwest
13.88,Midwest
14.41,Midwest
14.08,Midwest
9.93,Midwest
13.48,Midwest
12.7,Midwest
17.68,Midwest
9.83,Midwest
9.89,Midwest
12.47,Midwest
13.63,Midwest
16.42,Midwest
12.82,Midwest
15.12,Midwest
12.45,Midwest
16.81,Midwest
16.41,Midwest
15.14,Midwest
15.17,Midwest
15.36,Midwest
14.81,Midwest
21.58,Midwest
18.46,Midwest
16.7,Midwest
10.48,Midwest
16.81,Midwest
15.01,Midwest
15.81,Midwest
13.63,Midwest
14.76,Midwest
13.98,Midwest
10.95,Midwest
18.25,Midwest
19.87,Midwest
17.04,Midwest
13.29,Midwest
15.73,Midwest
9.61,Midwest
9.34,Midwest
14.2,Midwest
9.77,Midwest
18.01,Midwest
16.93,Midwest
16.21,Midwest
13.66,Midwest
16.55,Midwest
12.19,Midwest
12.51,Midwest
14.85,Midwest
11.77,Midwest
16.5,Midwest
14.43,Midwest
14.57,Midwest
11.87,Midwest
18.08,Midwest
10.79,Midwest
15.09,Midwest
10.59,Midwest
15.83,Midwest
17.03,Midwest
12.72,Midwest
12.91,Midwest
13.43,Midwest
13.63,Midwest
14.14,Midwest
13.58,Midwest
14.94,Midwest
7.2,Midwest
15.53,Midwest
18.43,Midwest
11.12,Midwest
11.85,Midwest
17.21,Midwest
16.56,Midwest
11.23,Midwest
17.07,Midwest
13.02,Midwest
14.6,Midwest
13.52,Midwest
11.26,South
11.91,South
9.16,South
5.96,South
7.55,South
13.33,South
12.24,South
8.59,South
11.65,South
7.2,South
11.12,South
9.2,South
9.2,South
7.96,South
8.02,South
9.05,South
10.8,South
11.83,South
13.48,South
11.52,South
11.92,South
8.44,South
8.77,South
10.84,South
11.47,South
12.54,South
10.42,South
8.35,South
8.2,South
9.37,South
8.23,South
12.35,South
9.96,South
11.05,South
11.04,South
9.67,South
11.99,South
8.97,South
11.89,South
12.65,South
10.66,South
10.02,South
